Quelle 	 Ziel 
First Spirit                                                          	 FirstSpirit                                                           
Agiles Business Development                                           	 Business Consulting                                                   
                                                                      	 Business Productivity                                                 
                                                                      	 PBM - Personal Business Machine                                       
                                                                      	 SAP Custom Development & Integration                                  
Design for Operation                                                  	 Kreation & Design                                                     
                                                                      	 Design Thinking                                                       
                                                                      	 Requirements Engineering & Design                                     
Chatbot                                                               	 Chatbots                                                              
Innovation Management                                                 	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
Digital Transformation                                                	 Digital Design                                                        
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Digital Mastery (Digital Readiness Check)                             
                                                                      	 Digitale Beratungs- und Verkaufsprozesse                              
                                                                      	 Digitale Firmenkundenschnittstelle                                    
                                                                      	 Digitale Kundenschnittstelle                                          
                                                                      	 Digitale Signatur                                                     
                                                                      	 Digitaler Schadensprozess                                             
                                                                      	 Digitalisierung Bankenkooperation                                     
                                                                      	 Business Transformation                                               
Requirements Engineering & Design                                     	 Requirements-Engineering                                              
                                                                      	 Grafik/ Design/ Kreation                                              
                                                                      	 Design for Operation                                                  
                                                                      	 Design Thinking                                                       
                                                                      	 Digital Design                                                        
Pragmatisches IT Projektmanagement                                    	 IT-Konsolidierung des Bundes                                          
                                                                      	 IT-Organisation & -Steuerung                                          
                                                                      	 IT-ARCHITEKTUR & BUSINESS INTEGRATION                                 
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 IT Strategy & Enterprise Architecture Consulting                      
                                                                      	 IT Consulting & Software Architecture                                 
                                                                      	 Projektmanagement                                                     
Hosting & Application Management                                      	 IT-Betrieb und -Hosting                                               
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
                                                                      	 Digital Identity Management (Authentifizierung~ Identifizierung)      
                                                                      	 Einführungsmanagement (Cutover Management)                            
                                                                      	 in|RELATION Customer Relationship Management                          
                                                                      	 in|RELATION Distributor-Relationship-Management                       
                                                                      	 Omni Channel Management                                               
                                                                      	 Release Management                                                    
                                                                      	 Security Management                                                   
BiPRO                                                                 	 BiPRO                                                                 
Microsoft                                                             	 Microsoft.net                                                         
IT muss neue gedacht werden - New School of IT                        	 IT-Konsolidierung des Bundes                                          
                                                                      	 IT-Organisation & -Steuerung                                          
                                                                      	 IT-ARCHITEKTUR & BUSINESS INTEGRATION                                 
                                                                      	 IT-Prozesse und IT-Providermanagement                                 
                                                                      	 IT Transformation & Agilisierung der Organisation                     
                                                                      	 IT Strategy & Enterprise Architecture Consulting                      
                                                                      	 IT Consulting & Software Architecture                                 
App-Entwicklung                                                       	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
Cloud (Azure)                                                         	 Cloud/ Cloudmanagement                                                
Hosting & Plattform Management                                        	 IT-Betrieb und -Hosting                                               
                                                                      	 com2m IoT Plattform                                                   
                                                                      	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
                                                                      	 Application Management                                                
                                                                      	 Change Management                                                     
                                                                      	 Customer Experience Management                                        
                                                                      	 Customer Relationship Management                                      
